timestamp,event,key_type
2026-08-10T09:33:38.223,press,character
2026-08-10T09:33:38.358,release,character
2026-08-10T09:33:38.419,press,special
2026-08-10T09:33:38.510,release,special
2026-08-10T09:33:39.644,press,character
2026-08-10T09:33:39.700,release,character
2026-08-10T09:33:40.022,press,character
2026-08-10T09:33:40.101,release,character
2026-08-10T09:33:40.179,press,character
2026-08-10T09:33:40.257,release,character
2026-08-10T09:33:40.344,press,special
2026-08-10T09:33:40.434,release,special
2026-08-10T09:33:40.685,press,character
2026-08-10T09:33:40.798,press,character
2026-08-10T09:33:40.831,release,character
2026-08-10T09:33:40.911,release,character
2026-08-10T09:33:41.082,press,character
2026-08-10T09:33:41.168,release,character
2026-08-10T09:33:41.332,press,character
2026-08-10T09:33:41.434,press,special
2026-08-10T09:33:41.444,release,special
2026-08-10T09:33:41.484,release,character
2026-08-10T09:33:41.817,press,character
2026-08-10T09:33:41.894,release,character
2026-08-10T09:33:41.943,press,character
2026-08-10T09:33:42.088,release,character
2026-08-10T09:33:42.313,press,character
2026-08-10T09:33:42.447,release,character
2026-08-10T09:33:42.473,press,character
2026-08-10T09:33:42.480,release,character
2026-08-10T09:33:42.994,press,special
2026-08-10T09:33:43.071,release,special
2026-08-10T09:33:43.307,press,character
2026-08-10T09:33:43.405,release,character
2026-08-10T09:33:43.486,press,special
2026-08-10T09:33:43.573,release,special
2026-08-10T09:33:43.653,press,character
2026-08-10T09:33:43.779,release,character
2026-08-10T09:33:43.889,press,character
2026-08-10T09:33:44.018,release,character
2026-08-10T09:33:44.072,press,character
2026-08-10T09:33:44.210,press,character
2026-08-10T09:33:44.217,release,character
2026-08-10T09:33:44.316,release,character
2026-08-10T09:33:44.329,press,character
2026-08-10T09:33:44.414,release,character
2026-08-10T09:33:44.544,press,special
2026-08-10T09:33:44.644,release,special
2026-08-10T09:33:44.715,press,character
2026-08-10T09:33:44.822,press,character
2026-08-10T09:33:44.829,release,character
2026-08-10T09:33:44.877,release,character
2026-08-10T09:33:45.232,press,character
2026-08-10T09:33:45.334,release,character
2026-08-10T09:33:45.616,press,character
2026-08-10T09:33:45.727,release,character
2026-08-10T09:33:45.820,press,character
2026-08-10T09:33:45.909,release,character
2026-08-10T09:33:46.171,press,character
2026-08-10T09:33:46.227,release,character
2026-08-10T09:33:46.707,press,character
2026-08-10T09:33:46.819,release,character
2026-08-10T09:33:47.812,press,character
2026-08-10T09:33:47.882,release,character
2026-08-10T09:33:48.482,press,special
2026-08-10T09:33:48.542,release,special
2026-08-10T09:33:57.415,press,special
