key_id,press_time,release_time,hold_time_ms
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,34912.006,35001.333,89.3269999999975
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,35181.845,35265.527,83.6820000000007
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,35365.206,35453.233,88.02700000000186
ae2faa8f7b0ce4378083c8c430cfa37375e90b606533102a4d1ae59a0ace5ab8,35615.6,35713.745,98.14500000000407
f55367215c1bc555ff5d40216228137afd74b7aac9f0134903e15529427c1127,35911.854,35987.347,75.49300000000221
ac19dc77757b532079d1735b8566fb60ac96ee03c27c5fe4366b752a46e8b051,36332.542,36399.786,67.24399999999878
e689fc9b2942276fb653d27385001e4137af8466fa7959fd89910d4b14af84ff,36539.98,36637.94,97.95999999999913
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,36657.25,36750.053,92.80299999999988
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,36944.724,37067.569,122.84500000000116
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,37397.661,37519.64,121.97899999999936
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,37529.299,37621.265,91.96600000000035
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,37727.391,37851.595,124.2039999999979
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,37903.59,38037.425,133.8350000000064
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,38049.235,38139.33,90.09500000000116
5f8f53e65737690c04bddb4408b63fe0ad41c34fb2db7d1f6935feb3308e9787,38521.591,38635.472,113.88100000000122
1c38485e295dfe971f373a477c4f4e51d5bf5099ae0cb20d13da43c410cab47c,38566.538,38708.342,141.80399999999645
a6f06fde7d842e34a637175d250e758537a9959c30d79714f634eeb938ad555f,38953.539,39103.397,149.85800000000017
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,39139.672,39243.518,103.84599999999773
5f8f53e65737690c04bddb4408b63fe0ad41c34fb2db7d1f6935feb3308e9787,40921.615,41013.982,92.36700000000565
b360eaf01d624a774522de4690df8752f947d5eaaf604b385197cc77174a088d,41681.323,41787.913,106.59000000000378
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,41893.562,42019.436,125.87400000000343
a06f32066f95bf217db96bef0b03557ed5dbb1c8dafb669dd0b8e06e312387b1,42259.942,42353.505,93.56299999999464
b360eaf01d624a774522de4690df8752f947d5eaaf604b385197cc77174a088d,43921.548,44015.912,94.36399999999412
b360eaf01d624a774522de4690df8752f947d5eaaf604b385197cc77174a088d,44137.619,44217.537,79.91799999999785
5f8f53e65737690c04bddb4408b63fe0ad41c34fb2db7d1f6935feb3308e9787,44791.54,44873.698,82.15799999999581
a06f32066f95bf217db96bef0b03557ed5dbb1c8dafb669dd0b8e06e312387b1,45087.565,45121.816,34.250999999996566
a06f32066f95bf217db96bef0b03557ed5dbb1c8dafb669dd0b8e06e312387b1,45183.63,45215.769,32.13900000000285
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,45313.731,45432.012,118.28100000000268
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,45455.709,45562.173,106.46399999999994
7769ac8a12582e8ad3ccd6c8b7d5c7ab300644cefd2da3d1cda77fc5fce80812,46021.736,46139.834,118.09800000000541
5761acac657b955fbed518b8d1814e64ac36e86435d4068599dd23746b80d699,46105.778,46213.752,107.97400000000198
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,46341.763,46474.012,132.24900000000343
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,46548.682,46687.706,139.0239999999976
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,46705.589,46787.455,81.8660000000018
52499948e51cc1ab88e16b60ad9a89518f3ccf5e395644caa9cea0c28470663c,46911.833,47033.553,121.72000000000116
2e08c4195ea03bb30885ed831a0fce02d00fbda2cc68ebe89562689cc6571e40,47059.542,47189.86,130.3179999999993
ae0fffa7bf37d5b9d993c3faf11e11373dbee70857570277f4d8e786c4a01b9c,47197.447,47282.257,84.80999999999767
5f8f53e65737690c04bddb4408b63fe0ad41c34fb2db7d1f6935feb3308e9787,47628.204,47718.299,90.09500000000116
1c38485e295dfe971f373a477c4f4e51d5bf5099ae0cb20d13da43c410cab47c,47746.382,47861.583,115.20100000000093
